Time	Channel A	Channel B
(us)	(V)	(V)

-90.58610606	-0.01098767	0.00000000
-90.57360606	-0.01098767	-0.00610426
-90.56110606	-0.01709193	-0.00610426
-90.54860606	-0.01098767	-0.01098767
-90.53610606	-0.01098767	-0.01098767
-90.52360606	-0.01098767	0.00000000
-90.51110607	-0.01098767	0.00000000
-90.49860607	-0.01709193	0.00000000
-90.48610607	-0.01709193	0.00488341
-90.47360607	0.00000000	-0.00610426
-90.46110607	-0.00610426	0.00000000
-90.44860607	-0.01709193	0.00488341
-90.43610607	-0.00610426	0.00000000
-90.42360607	0.00000000	0.00000000
-90.41110607	0.00488341	0.00000000
-90.39860607	-0.00610426	0.00000000
-90.38610607	-0.01098767	0.00000000
-90.37360607	-0.00610426	0.00488341
-90.36110607	-0.00610426	0.00976682
-90.34860607	-0.00610426	0.00488341
-90.33610608	-0.01709193	-0.00610426
-90.32360608	-0.00610426	0.00976682
-90.31110608	-0.00610426	-0.00610426
-90.29860608	0.00000000	-0.00610426
-90.28610608	-0.01098767	0.00488341
-90.27360608	0.00000000	0.00000000
-90.26110608	-0.01709193	-0.00610426
-90.24860608	0.00000000	0.00000000
-90.23610608	0.00488341	0.00000000
-90.22360608	-0.01709193	0.00000000
-90.21110608	-0.01098767	0.00000000
-90.19860608	-0.01098767	-0.00610426
-90.18610608	-0.01709193	-0.00610426
-90.17360609	-0.00610426	-0.01587108
-90.16110609	0.00000000	-0.01098767
-90.14860609	-0.01098767	0.00000000
-90.13610609	-0.01098767	-0.00610426
-90.12360609	0.00000000	0.00488341
-90.11110609	0.00000000	-0.00610426
-90.09860609	-0.01098767	-0.01098767
-90.08610609	-0.01709193	-0.01098767
-90.07360609	-0.01098767	-0.00610426
-90.06110609	-0.01098767	0.00000000
-90.04860609	-0.01098767	0.00000000
-90.03610609	-0.00610426	0.00976682
-90.02360609	-0.00610426	0.00000000
-90.01110609	-0.00610426	-0.00610426
-89.99860610	-0.01098767	0.00976682
-89.98610610	-0.01098767	-0.00610426
-89.97360610	-0.01709193	0.00488341
-89.96110610	-0.00610426	0.00488341
-89.94860610	-0.01709193	0.00000000
-89.93610610	-0.01709193	-0.00610426
-89.92360610	-0.01098767	0.00000000
-89.91110610	-0.01098767	0.00488341
-89.89860610	0.00488341	0.00488341
-89.88610610	0.00000000	0.00000000
-89.87360610	-0.01709193	-0.01098767
-89.86110610	0.00000000	-0.00610426
-89.84860610	-0.01709193	0.00488341
-89.83610611	0.00000000	-0.01098767
-89.82360611	0.00000000	-0.00610426
-89.81110611	-0.01098767	-0.01098767
-89.79860611	-0.02197534	0.00488341
-89.78610611	-0.01098767	-0.01098767
-89.77360611	0.00976682	0.00000000
-89.76110611	0.00488341	0.00000000
